[2019-03-03 00:07:35Z] 0000008F-AgebullMac:Background:4A3H-EWX4XY68QP-iVCSYLRQNK > AppManage : app/page/v1/help/button(SaveButton)
[2019-03-03 00:07:35Z] 00000090-AgebullMac:Background:4A3H-CRWXL0C8PV-SXXQ9E3T6Z > AppManage : app/page/v1/v1/sys/bind_type(BindType)
[2019-03-03 00:07:35Z] 00000091-AgebullMac:Background:4A3H-DYAiiEJVBU-7ZFC3MNJG6 > AppManage : app/page/v1/global/info(GetPageInfo)
[2019-03-03 00:07:35Z] 00000092-AgebullMac:Background:4A3H-12N83VNQZU-KGGMXAPi7Z > AppManage : app/page/v1/page/static(StaticHtml)
[2019-03-03 00:07:35Z] 00000093-AgebullMac:Background:4A3H-BC8B72QB92-LWiWNP7A2X > AppManage : app/page/v1/edit/tree(GetTree)
[2019-03-03 00:07:35Z] 00000094-AgebullMac:Background:4A3H-AX2JQPiC0S-547JALLP50 > AppManage : app/page/v1/edit/set_parent(SetParent)
[2019-03-03 00:07:35Z] 00000095-AgebullMac:Background:4A3H-94WL8JAPRV-4G1PT3E5WX > AppManage : app/page/v1/edit/normal_buttons(NormalButtons)
[2019-03-03 00:07:35Z] 00000096-AgebullMac:Background:4A3H-Q3EP1VV90Q-Qi2WV95B9T > AppManage : app/page/v1/edit/eid(EntityType)
[2019-03-03 00:07:35Z] 00000097-AgebullMac:Background:4A3H-EFM7X1G47G-98SQHWKEC7 > AppManage : app/page/v1/edit/list(List)
[2019-03-03 00:07:35Z] 00000098-AgebullMac:Background:4A3H-YQB2iQW3AF-TBH8320WFR > AppManage : app/page/v1/edit/details(Details)
[2019-03-03 00:07:35Z] 00000099-AgebullMac:Background:4A3H-EQVNCEGXJ5-PU48T5YGCV > AppManage : app/page/v1/edit/addnew(AddNew)
[2019-03-03 00:07:35Z] 0000009A-AgebullMac:Background:4A3H-Mi4E0H7EKU-X2D5G2N1D1 > AppManage : app/page/v1/edit/update(Update)
[2019-03-03 00:07:35Z] 0000009B-AgebullMac:Background:4A3H-2AMiTASNVJ-HLN2G2iQC4 > AppManage : app/page/v1/edit/delete(Delete)
[2019-03-03 00:07:35Z] 0000009C-AgebullMac:Background:4A3H-2iG3B9JBK5-WSLWW2NNRY > AppManage : app/app/v1/state/reset(Reset)
[2019-03-03 00:07:35Z] 0000009D-AgebullMac:Background:4A3H-2XVU8ZSU7W-VMFEE7GWGZ > AppManage : app/app/v1/state/lock(Lock)
[2019-03-03 00:07:35Z] 0000009E-AgebullMac:Background:4A3H-KTQKiBN5SP-FSV92MS1YC > AppManage : app/app/v1/state/discard(Discard)
[2019-03-03 00:07:35Z] 0000009F-AgebullMac:Background:4A3H-Li4SFBWJE1-GRADZAZBK2 > AppManage : app/app/v1/state/disable(Disable)
[2019-03-03 00:07:35Z] 000000A0-AgebullMac:Background:4A3H-FU7QR7DMFT-QiG77KVA8Z > AppManage : app/app/v1/state/enable(Enable)
[2019-03-03 00:07:35Z] 000000A1-AgebullMac:Background:4A3H-53D64PWSD8-ZCi4P204i1 > AppManage : app/app/v1/edit/eid(EntityType)
[2019-03-03 00:07:35Z] 000000A2-AgebullMac:Background:4A3H-J3BGi012RV-ECGF3S5YWi > AppManage : app/app/v1/edit/list(List)
[2019-03-03 00:07:35Z] 000000A3-AgebullMac:Background:4A3H-DKDVU3J8RN-NiNQBL01KS > AppManage : app/app/v1/edit/details(Details)
[2019-03-03 00:07:35Z] 000000A4-AgebullMac:Background:4A3H-81V92N9PEE-3W05M6D7KA > AppManage : app/app/v1/edit/addnew(AddNew)
[2019-03-03 00:07:35Z] 000000A5-AgebullMac:Background:4A3H-7MNNK61655-2GUT545GA6 > AppManage : app/app/v1/edit/update(Update)
[2019-03-03 00:07:35Z] 000000A6-AgebullMac:Background:4A3H-6HHY3GUCWW-GQRNJ5A1P6 > AppManage : app/app/v1/edit/delete(Delete)
[2019-03-03 00:07:35Z] 000000A7-AgebullMac:Background:4A3H-1RVV2DXDEA-W9P9G1CPTi > FindZeroObjects : C:\Projects\Agebull\AgebullDesigner\demo\src\Web\bin\Debug\netcoreapp2.2\AppManage.ManageApi.dll
[2019-03-03 00:07:35Z] 000000A8-AgebullMac:Background:4A3H-CT5MS8LYBE-SH6FFADGUS > Discove : Auth.ZeroApi, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
